,Titre,Language,genre,Directors,Liste acteurs,startYear,averageRating,Poster,weighted_rating
3604,Beetlejuice,en,Comedy,Tim Burton,"['Cindy Daly', ' William A. Attaway', ' Simmy Bow', ' Alec Baldwin']",1988,7.0,/gWnW7vxm8yr01TVLQhL4aI02orp.jpg,6.998300514061116
3605,Philadelphia,en,Drama,Jonathan Demme,"['Jonathan Demme', ' Buzz Kilman', ' Dorothy Demme', ' Tom Hanks']",1993,7.0,/uyUSC7oX0alcAG9q6vke8WHGKkY.jpg,6.9978500293124455
3606,Dirty Rotten Scoundrels,en,Comedy,Frank Oz,"['Anton Rodgers', ' Valerie E. Norman', ' Glenne Headly', ' Steve Martin']",1988,7.0,/fdwW9gwi50lmgPyv2teT2NCjElO.jpg,6.992870621227339
3607,Manhunter,en,Crime,Michael Mann,"['Michael Mann', ' David Allen Brooks', ' Dennis Farina', ' William Petersen']",1986,7.0,/2yfE5bJHzkuBp2A1kWxNV3tZPIu.jpg,6.993033796912038
3608,My Left Foot: The Story of Christy Brown,en,Biography,Jim Sheridan,"['Jim Sheridan', ' Eileen Colgan', ' Adrian Dunbar', ' Daniel Day-Lewis']",1989,7.0,/2Tvw127Ei8VnJCwK7K7aSEUW3uX.jpg,6.9930693295151
3609,Kiss the Girls,en,Crime,Gary Fleder,"['Cary Elwes', ' Gary Fleder', ' Brandi Andres', ' Morgan Freeman']",1997,6.0,/m9CyzlwbXhfUPooRIAcBoE63Frg.jpg,5.999577539894041
3610,Little Giants,en,Comedy,Duwayne Dunham,"['Michael Goldberg', "" Rickey D'Shon Collins"", ' Steve Emtman', ' Rick Moranis']",1994,6.0,/33ZN7j6pUhcjbwuQrWTtovrkelx.jpg,5.99891336857876
3611,Deuce Bigalow: Male Gigolo,en,Comedy,Mike Mitchell,"['Sidney Ganis', ' Michael Delahoussaye', ' Big Boy', ' Rob Schneider']",1999,5.0,/1AGR1KdIk1llaW983XsW5YsoPsI.jpg,5.006023431994619
3612,Escape from L.A.,en,Action,John Carpenter,"['Michelle Forbes', ' Robert Carradine', ' Paul Bartel', ' Kurt Russell']",1996,5.0,/rAjz6XFC6Zs07oraJSnajbaAbG9.jpg,5.006022733400702
3613,The Thirteenth Floor,en,Mystery,Josef Rusnak,"['David Bloch', ' Toni Sawyer', ' Armin Mueller-Stahl', ' Craig Bierko']",1999,7.0,/19XUd3YoAY2cwWJnutvq5VEtiIO.jpg,6.992870239497423
